Date,Symbol,Name_of_Company,VGM_Ratings,Value,Growth,Momentum,Low_Risk,Sector,Industry,Open,High,Low,Close,Prev_Close,Change,Change%,Volume,Avg_Vol_20D,52_Week_High,52_Week_Low,1W_Return,1M_Return,3M_Return,6M_Return,YTD_Performance,1Y_Return,Marketcap,PB_Ratio,PS_Ratio,PE_Ratio,Dividend_Yield,Price_to_Free_Cash_Flow_Ratio,FCF_Yield,EV_to_EBITDA,Revenue_Growth,EPS_Growth,Operating_Income_Growth,FCF_Growth,Asset_Growth,ROE,ROCE,Short_Term_Momentum,Medium_Term_Momentum,Long_Term_Momentum,Short_Term_Industry_Momentum,Medium_Term_Industry_Momentum,Long_Term_Industry_Momentum
2024-12-30,WGS,GeneDx Holdings Corp.,10,10,8,10,1,Healthcare,Medical - Healthcare Information Services,76.1,77.81,73.57,76.58,78.05,-1.47,-1.88,354788,514034.0,89.11,2.47,1.7,11.91,125.1,675.1,2800.76,907.63,2075010607.0,4.0,3.5,5.0,5.0,5.0,5.0,5.0,0.5,1.0,4.5,4.0,4.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
2024-12-30,IONQ,"IonQ, Inc.",10,10,9,10,2,Technology,Computer Hardware,44.6,45.79,41.51,44.29,45.48,-1.19,-2.62,17493363,27122381.0,48.56,6.22,17.29,51.99,505.88,488.18,264.23,196.85,9491570797.0,2.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,4.0,2.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
2024-12-30,RKLB,"Rocket Lab USA, Inc.",10,10,10,10,2,Industrials,Aerospace & Defense,26.22,26.81,24.9,26.32,27.22,-0.9,-3.31,13425805,19551900.0,28.8,3.47,13.35,38.53,284.8,645.61,395.67,237.0,13099509138.0,4.5,5.0,5.0,5.0,5.0,5.0,5.0,3.5,3.5,2.0,4.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
2024-12-30,SOUN,"SoundHound AI, Inc.",10,10,8,10,1,Technology,Software - Application,23.0,23.5,20.96,22.68,23.95,-1.27,-5.3,59901273,109568802.0,24.98,1.62,20.25,256.6,360.04,471.28,990.38,615.46,8173550216.0,2.5,5.0,5.0,5.0,5.0,5.0,5.0,0.5,1.5,1.0,4.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
2024-12-30,KOD,Kodiak Sciences Inc.,10,7,9,10,1,Healthcare,Biotechnology,9.86,10.09,9.52,9.97,9.98,-0.01,-0.1,364196,520116.0,11.6,2.19,14.86,80.29,272.01,157.62,213.52,40.82,524583344.0,0.5,0.5,5.0,5.0,5.0,5.0,5.0,4.0,3.0,3.5,2.0,1.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
2024-12-30,PLTR,Palantir Technologies Inc.,10,9,5,10,4,Technology,Software - Infrastructure,77.04,79.24,76.11,77.18,79.08,-1.9,-2.4,59996729,92746905.0,84.8,15.66,4.0,17.35,141.79,252.42,365.5,350.55,173657469760.0,4.0,5.0,4.0,5.0,4.0,4.0,4.5,1.5,3.5,2.0,1.5,5.0,3.5,3.0,5.0,5.0,5.0,5.0,5.0,5.0
2024-12-30,APP,AppLovin Corporation,10,2,1,10,3,Technology,Software - Application,328.73,341.24,325.21,335.38,335.17,0.21,0.06,2266629,6042950.0,417.64,37.4,5.22,15.22,276.83,369.52,764.83,1096.5,113000008997.0,4.5,4.0,1.0,5.0,2.0,2.0,1.5,0.5,1.5,4.0,2.0,3.5,0.5,0.5,5.0,5.0,5.0,5.0,5.0,5.0
2024-12-30,ACHR,Archer Aviation Inc.,10,9,9,10,2,Industrials,Aerospace & Defense,10.62,10.89,9.82,10.06,11.18,-1.12,-10.02,42777447,53174969.0,11.69,2.82,19.48,144.77,173.37,158.61,73.15,111.34,3999062044.0,2.0,0.5,5.0,5.0,5.0,5.0,5.0,3.0,2.5,3.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0
2024-12-30,NN,NextNav Inc.,10,10,9,10,1,Communication Services,Internet Content & Information,16.42,17.03,15.93,16.62,16.74,-0.12,-0.72,926101,1231309.0,18.54,3.55,-0.84,16.88,154.13,135.41,269.33,454.0,2101249980.0,4.5,5.0,5.0,5.0,5.0,5.0,5.0,0.5,3.0,2.5,2.5,2.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
2024-12-30,WLFC,Willis Lease Finance Corporation,10,3,6,10,3,Industrials,Rental & Leasing Services,198.31,206.26,192.12,204.65,201.99,2.66,1.32,30135,31569.0,235.43,45.32,2.99,3.28,86.89,318.76,326.89,407.06,1347006300.0,1.0,3.0,2.0,3.5,5.0,5.0,2.5,2.0,4.0,2.0,3.5,4.5,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0
