Date,Symbol,Name_of_Company,VGM_Ratings,Value,Growth,Momentum,Low_Risk,Sector,Industry,Open,High,Low,Close,Prev_Close,Change,Change%,Volume,Avg_Vol_20D,52_Week_High,52_Week_Low,1W_Return,1M_Return,3M_Return,6M_Return,YTD_Performance,1Y_Return,Marketcap,PB_Ratio,PS_Ratio,PE_Ratio,Dividend_Yield,Price-to-Free-Cash-Flow_Ratio,FCF_Yield,EV-to-EBITDA,Revenue_Growth,EPS_Growth,Operating_Income_Growth,FCF_Growth,Asset_Growth,ROE,ROCE,Short_Term_Momentum,Medium_Term_Momentum,Long_Term_Momentum,Short_Term_Industry_Momentum,Medium_Term_Industry_Momentum,Long_Term_Industry_Momentum
2024-10-21,WLFC,Willis Lease Finance Corp,10,10,9,10,4,Industrials,Rental & Leasing Services,203.0,214.9,183.64,191.03,202.95,-11.92,-5.87,128000,40320.0,214.9,39.74,9.25,81.09,213.11,295.26,298.48,308.18,1255067100.0,3.0,3.0,3.0,5.0,0.0,0.0,3.0,4.0,3.0,2.5,0.0,4.5,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0
2024-10-21,PNC,PNC Financial Services Group Inc,10,2,10,9,9,Financial Services,Banks - Regional,188.49,189.81,185.34,185.64,189.38,-3.74,-1.97,1680800,1681260.0,196.64,109.4,-1.13,3.84,22.33,27.3,18.62,62.88,74256000000.0,2.5,3.0,2.5,3.0,3.0,2.5,0.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,3.5,4.5,4.5,4.0,3.5,5.0
2024-10-21,CMPO,CompoSecure Inc,10,10,10,10,6,Industrials,Manufacturing - Metal Fabrication,15.1,15.55,15.08,15.41,15.08,0.33,2.19,674800,892435.0,15.55,4.61,7.76,27.88,144.99,203.35,181.72,113.73,392006807.0,0.0,3.5,4.0,5.0,3.5,5.0,3.5,2.5,2.5,2.5,0.0,0.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,4.5
2024-10-21,HRB,H&R Block Inc,10,10,10,8,10,Consumer Cyclical,Personal Products & Services,61.49,61.83,60.68,61.04,61.49,-0.45,-0.73,902200,1148190.0,68.45,39.2,0.23,-3.26,20.37,29.9,24.57,95.45,8516606000.0,0.0,3.0,3.5,4.5,2.5,4.5,3.5,5.0,4.5,3.5,4.5,4.5,0.0,5.0,3.5,4.0,4.0,3.5,4.5,2.0
2024-10-21,BIPC,Brookfield Infrastructure Corp,10,10,10,9,7,Utilities,Regulated Gas,43.64,43.73,43.17,43.24,43.63,-0.39,-0.89,278500,362585.0,44.03,25.48,4.7,7.32,27.29,20.48,22.56,-3.4,6192316650.0,0.5,3.5,3.0,1.0,2.5,3.5,4.0,5.0,5.0,5.0,0.0,0.0,5.0,5.0,3.5,5.0,3.5,4.0,5.0,3.5
2024-10-21,CALM,Cal-Maine Foods Inc,10,9,10,10,9,Consumer Defensive,Agricultural Farm Products,92.98,93.31,90.85,91.16,92.76,-1.6,-1.72,598800,767025.0,95.06,44.3,0.78,31.56,54.93,63.14,60.83,91.03,4447003200.0,2.5,2.5,3.0,3.5,3.0,3.0,3.0,3.5,2.5,2.5,0.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.5
2024-10-21,LMT,Lockheed Martin Corp,10,9,10,10,10,Industrials,Aerospace & Defense,615.64,618.95,611.36,614.61,611.81,2.8,0.46,1015800,856245.0,618.95,413.92,1.73,7.41,34.03,45.75,34.75,35.63,146870942000.0,1.0,3.0,3.0,4.5,3.0,3.0,2.5,3.0,3.0,3.0,3.0,3.0,4.5,3.0,5.0,5.0,4.5,5.0,5.0,3.5
2024-10-21,IDT,IDT Corp,10,7,10,9,8,Communication Services,Telecommunications Services,47.45,47.45,45.79,46.0,47.45,-1.45,-3.06,118200,132065.0,49.6,27.09,-4.19,23.72,25.58,29.65,36.46,38.97,1169911560.0,2.5,3.0,3.0,2.5,2.5,3.0,3.0,3.0,3.0,3.0,4.0,4.0,5.0,5.0,5.0,3.5,4.0,4.0,3.0,4.0
2024-10-21,VIRT,Virtu Financial Inc,10,10,9,10,6,Financial Services,Financial - Capital Markets,32.89,32.97,32.68,32.74,32.98,-0.24,-0.73,969600,1351905.0,33.55,16.02,0.58,4.43,39.44,102.22,60.88,86.98,5053548802.0,3.0,3.5,3.0,4.5,3.0,4.5,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,3.5
2024-10-21,BK,Bank of New York Mellon Corp,10,2,10,10,10,Financial Services,Asset Management,76.2,76.29,75.63,75.88,76.67,-0.79,-1.03,2306200,4367860.0,78.03,41.16,2.33,12.4,29.71,37.94,44.86,84.98,55926013710.0,0.5,3.5,3.0,2.5,2.5,3.0,3.0,4.0,0.0,0.0,2.5,0.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0
